tile_k,layout,tag_name,kernel_kind,load_conflicts,store_conflicts,total_conflicts,is_hardware_ncu
32,naive,stress_col0_row_lane,stress,32505856,0,32505856,1
32,naive,stress_col0_row_2lane,stress,15728640,0,15728640,1
32,naive,stress_col_lane_row_lane,stress,0,0,0,1
32,naive,stress_col_3lane_row_lane,stress,0,0,0,1
32,padded,stress_col0_row_lane,stress,0,0,0,1
32,padded,stress_col0_row_2lane,stress,0,0,0,1
32,padded,stress_col_lane_row_lane,stress,1048576,0,1048576,1
32,padded,stress_col_3lane_row_lane,stress,3145728,0,3145728,1
32,f2_swizzle_3_0_0,stress_col0_row_lane,stress,3145728,0,3145728,1
32,f2_swizzle_3_0_0,stress_col0_row_2lane,stress,3145728,0,3145728,1
32,f2_swizzle_3_0_0,stress_col_lane_row_lane,stress,7340032,0,7340032,1
32,f2_swizzle_3_0_0,stress_col_3lane_row_lane,stress,3145728,0,3145728,1
32,hexcute_swizzle_2_3_3,stress_col0_row_lane,stress,7340032,0,7340032,1
32,hexcute_swizzle_2_3_3,stress_col0_row_2lane,stress,3145728,0,3145728,1
32,hexcute_swizzle_2_3_3,stress_col_lane_row_lane,stress,3145728,0,3145728,1
32,hexcute_swizzle_2_3_3,stress_col_3lane_row_lane,stress,3145728,0,3145728,1
32,isl_affine_a1,stress_col0_row_lane,stress,0,0,0,1
32,isl_affine_a1,stress_col0_row_2lane,stress,0,0,0,1
32,isl_affine_a1,stress_col_lane_row_lane,stress,1048576,0,1048576,1
32,isl_affine_a1,stress_col_3lane_row_lane,stress,3145728,0,3145728,1
32,isl_affine_a3,stress_col0_row_lane,stress,0,0,0,1
32,isl_affine_a3,stress_col0_row_2lane,stress,0,0,0,1
32,isl_affine_a3,stress_col_lane_row_lane,stress,3145728,0,3145728,1
32,isl_affine_a3,stress_col_3lane_row_lane,stress,1048576,0,1048576,1
32,isl_blocked_affine,stress_col0_row_lane,stress,1048576,0,1048576,1
32,isl_blocked_affine,stress_col0_row_2lane,stress,0,0,0,1
32,isl_blocked_affine,stress_col_lane_row_lane,stress,1048576,0,1048576,1
32,isl_blocked_affine,stress_col_3lane_row_lane,stress,0,0,0,1
64,naive,stress_col0_row_lane,stress,32505856,0,32505856,1
64,naive,stress_col0_row_2lane,stress,15728640,0,15728640,1
64,naive,stress_col_lane_row_lane,stress,0,0,0,1
64,naive,stress_col_3lane_row_lane,stress,0,0,0,1
64,padded,stress_col0_row_lane,stress,0,0,235,1
64,padded,stress_col0_row_2lane,stress,0,0,248,1
64,padded,stress_col_lane_row_lane,stress,1048576,0,1048864,1
64,padded,stress_col_3lane_row_lane,stress,3145728,0,3146063,1
64,f2_swizzle_3_0_0,stress_col0_row_lane,stress,3145728,0,3145728,1
64,f2_swizzle_3_0_0,stress_col0_row_2lane,stress,3145728,0,3145728,1
64,f2_swizzle_3_0_0,stress_col_lane_row_lane,stress,7340032,0,7340032,1
64,f2_swizzle_3_0_0,stress_col_3lane_row_lane,stress,3145728,0,3145728,1
64,hexcute_swizzle_2_3_3,stress_col0_row_lane,stress,7340032,0,7340032,1
64,hexcute_swizzle_2_3_3,stress_col0_row_2lane,stress,3145728,0,3145728,1
64,hexcute_swizzle_2_3_3,stress_col_lane_row_lane,stress,3145728,0,3145728,1
64,hexcute_swizzle_2_3_3,stress_col_3lane_row_lane,stress,3145728,0,3145728,1
64,cute_swizzle_3_3_3,stress_col0_row_lane,stress,7340032,0,7340032,1
64,cute_swizzle_3_3_3,stress_col0_row_2lane,stress,3145728,0,3145728,1
64,cute_swizzle_3_3_3,stress_col_lane_row_lane,stress,3145728,0,3145728,1
64,cute_swizzle_3_3_3,stress_col_3lane_row_lane,stress,3145728,0,3145728,1
64,isl_affine_a1,stress_col0_row_lane,stress,0,0,0,1
64,isl_affine_a1,stress_col0_row_2lane,stress,0,0,0,1
64,isl_affine_a1,stress_col_lane_row_lane,stress,1048576,0,1048576,1
64,isl_affine_a1,stress_col_3lane_row_lane,stress,3145728,0,3145728,1
64,isl_affine_a3,stress_col0_row_lane,stress,0,0,0,1
64,isl_affine_a3,stress_col0_row_2lane,stress,0,0,0,1
64,isl_affine_a3,stress_col_lane_row_lane,stress,3145728,0,3145728,1
64,isl_affine_a3,stress_col_3lane_row_lane,stress,1048576,0,1048576,1
