tile_k,layout,tag_name,max_lanes_per_bank,max_distinct_addresses_per_bank,predicted_conflicts,hardware_total_conflicts,absolute_error,note
32,naive,stress_col0_row_lane,32,32,32505856,32505856,0,matches
32,naive,stress_col0_row_2lane,32,16,15728640,15728640,0,matches
32,naive,stress_col_lane_row_lane,1,1,0,0,0,matches
32,naive,stress_col_3lane_row_lane,1,1,0,0,0,matches
32,padded,stress_col0_row_lane,1,1,0,0,0,matches
32,padded,stress_col0_row_2lane,2,1,0,0,0,matches
32,padded,stress_col_lane_row_lane,2,2,1048576,1048576,0,matches
32,padded,stress_col_3lane_row_lane,4,4,3145728,3145728,0,matches
32,f2_swizzle_3_0_0,stress_col0_row_lane,4,4,3145728,3145728,0,matches
32,f2_swizzle_3_0_0,stress_col0_row_2lane,8,4,3145728,3145728,0,matches
32,f2_swizzle_3_0_0,stress_col_lane_row_lane,8,8,7340032,7340032,0,matches
32,f2_swizzle_3_0_0,stress_col_3lane_row_lane,4,4,3145728,3145728,0,matches
32,hexcute_swizzle_2_3_3,stress_col0_row_lane,8,8,7340032,7340032,0,matches
32,hexcute_swizzle_2_3_3,stress_col0_row_2lane,8,4,3145728,3145728,0,matches
32,hexcute_swizzle_2_3_3,stress_col_lane_row_lane,4,4,3145728,3145728,0,matches
32,hexcute_swizzle_2_3_3,stress_col_3lane_row_lane,4,4,3145728,3145728,0,matches
32,isl_affine_a1,stress_col0_row_lane,1,1,0,0,0,matches
32,isl_affine_a1,stress_col0_row_2lane,2,1,0,0,0,matches
32,isl_affine_a1,stress_col_lane_row_lane,2,2,1048576,1048576,0,matches
32,isl_affine_a1,stress_col_3lane_row_lane,4,4,3145728,3145728,0,matches
32,isl_affine_a3,stress_col0_row_lane,1,1,0,0,0,matches
32,isl_affine_a3,stress_col0_row_2lane,2,1,0,0,0,matches
32,isl_affine_a3,stress_col_lane_row_lane,4,4,3145728,3145728,0,matches
32,isl_affine_a3,stress_col_3lane_row_lane,2,2,1048576,1048576,0,matches
32,isl_blocked_affine,stress_col0_row_lane,2,2,1048576,1048576,0,matches
32,isl_blocked_affine,stress_col0_row_2lane,2,1,0,0,0,matches
32,isl_blocked_affine,stress_col_lane_row_lane,2,2,1048576,1048576,0,matches
32,isl_blocked_affine,stress_col_3lane_row_lane,1,1,0,0,0,matches
64,naive,stress_col0_row_lane,32,32,32505856,32505856,0,matches
64,naive,stress_col0_row_2lane,32,16,15728640,15728640,0,matches
64,naive,stress_col_lane_row_lane,1,1,0,0,0,matches
64,naive,stress_col_3lane_row_lane,1,1,0,0,0,matches
64,padded,stress_col0_row_lane,1,1,0,241,241,near_zero_hardware_noise
64,padded,stress_col0_row_2lane,2,1,0,226,226,near_zero_hardware_noise
64,padded,stress_col_lane_row_lane,2,2,1048576,1048861,285,matches
64,padded,stress_col_3lane_row_lane,4,4,3145728,3146057,329,matches
64,f2_swizzle_3_0_0,stress_col0_row_lane,4,4,3145728,3145728,0,matches
64,f2_swizzle_3_0_0,stress_col0_row_2lane,8,4,3145728,3145728,0,matches
64,f2_swizzle_3_0_0,stress_col_lane_row_lane,8,8,7340032,7340032,0,matches
64,f2_swizzle_3_0_0,stress_col_3lane_row_lane,4,4,3145728,3145728,0,matches
64,hexcute_swizzle_2_3_3,stress_col0_row_lane,8,8,7340032,7340032,0,matches
64,hexcute_swizzle_2_3_3,stress_col0_row_2lane,8,4,3145728,3145728,0,matches
64,hexcute_swizzle_2_3_3,stress_col_lane_row_lane,4,4,3145728,3145728,0,matches
64,hexcute_swizzle_2_3_3,stress_col_3lane_row_lane,4,4,3145728,3145728,0,matches
64,cute_swizzle_3_3_3,stress_col0_row_lane,8,8,7340032,7340032,0,matches
64,cute_swizzle_3_3_3,stress_col0_row_2lane,8,4,3145728,3145728,0,matches
64,cute_swizzle_3_3_3,stress_col_lane_row_lane,4,4,3145728,3145728,0,matches
64,cute_swizzle_3_3_3,stress_col_3lane_row_lane,4,4,3145728,3145728,0,matches
64,isl_affine_a1,stress_col0_row_lane,1,1,0,0,0,matches
64,isl_affine_a1,stress_col0_row_2lane,2,1,0,0,0,matches
64,isl_affine_a1,stress_col_lane_row_lane,2,2,1048576,1048576,0,matches
64,isl_affine_a1,stress_col_3lane_row_lane,4,4,3145728,3145728,0,matches
64,isl_affine_a3,stress_col0_row_lane,1,1,0,0,0,matches
64,isl_affine_a3,stress_col0_row_2lane,2,1,0,0,0,matches
64,isl_affine_a3,stress_col_lane_row_lane,4,4,3145728,3145728,0,matches
64,isl_affine_a3,stress_col_3lane_row_lane,2,2,1048576,1048576,0,matches
64,isl_blocked_affine,stress_col0_row_lane,2,2,1048576,1048576,0,matches
64,isl_blocked_affine,stress_col0_row_2lane,2,1,0,0,0,matches
64,isl_blocked_affine,stress_col_lane_row_lane,2,2,1048576,1048576,0,matches
64,isl_blocked_affine,stress_col_3lane_row_lane,1,1,0,0,0,matches
128,naive,stress_col0_row_lane,32,32,32505856,32505986,130,matches
128,naive,stress_col0_row_2lane,32,16,15728640,15728745,105,matches
128,naive,stress_col_lane_row_lane,1,1,0,176,176,near_zero_hardware_noise
128,naive,stress_col_3lane_row_lane,1,1,0,185,185,near_zero_hardware_noise
128,padded,stress_col0_row_lane,1,1,0,185,185,near_zero_hardware_noise
128,padded,stress_col0_row_2lane,2,1,0,173,173,near_zero_hardware_noise
128,padded,stress_col_lane_row_lane,2,2,1048576,1048793,217,matches
128,padded,stress_col_3lane_row_lane,4,4,3145728,3145964,236,matches
128,f2_swizzle_3_0_0,stress_col0_row_lane,4,4,3145728,3145851,123,matches
128,f2_swizzle_3_0_0,stress_col0_row_2lane,8,4,3145728,3145845,117,matches
128,f2_swizzle_3_0_0,stress_col_lane_row_lane,8,8,7340032,7340276,244,matches
128,f2_swizzle_3_0_0,stress_col_3lane_row_lane,4,4,3145728,3145978,250,matches
128,hexcute_swizzle_2_3_3,stress_col0_row_lane,8,8,7340032,7340269,237,matches
128,hexcute_swizzle_2_3_3,stress_col0_row_2lane,8,4,3145728,3145982,254,matches
128,hexcute_swizzle_2_3_3,stress_col_lane_row_lane,4,4,3145728,3145857,129,matches
128,hexcute_swizzle_2_3_3,stress_col_3lane_row_lane,4,4,3145728,3145835,107,matches
128,cute_swizzle_3_3_3,stress_col0_row_lane,8,8,7340032,7340293,261,matches
128,cute_swizzle_3_3_3,stress_col0_row_2lane,8,4,3145728,3145972,244,matches
128,cute_swizzle_3_3_3,stress_col_lane_row_lane,4,4,3145728,3145866,138,matches
128,cute_swizzle_3_3_3,stress_col_3lane_row_lane,4,4,3145728,3145833,105,matches
128,isl_affine_a1,stress_col0_row_lane,1,1,0,174,174,near_zero_hardware_noise
128,isl_affine_a1,stress_col0_row_2lane,2,1,0,183,183,near_zero_hardware_noise
128,isl_affine_a1,stress_col_lane_row_lane,2,2,1048576,1048787,211,matches
128,isl_affine_a1,stress_col_3lane_row_lane,4,4,3145728,3145991,263,matches
128,isl_affine_a3,stress_col0_row_lane,1,1,0,184,184,near_zero_hardware_noise
128,isl_affine_a3,stress_col0_row_2lane,2,1,0,188,188,near_zero_hardware_noise
128,isl_affine_a3,stress_col_lane_row_lane,4,4,3145728,3145994,266,matches
128,isl_affine_a3,stress_col_3lane_row_lane,2,2,1048576,1048811,235,matches
128,isl_blocked_affine,stress_col0_row_lane,2,2,1048576,1048659,83,matches
128,isl_blocked_affine,stress_col0_row_2lane,2,1,0,175,175,near_zero_hardware_noise
128,isl_blocked_affine,stress_col_lane_row_lane,2,2,1048576,1048806,230,matches
128,isl_blocked_affine,stress_col_3lane_row_lane,1,1,0,167,167,near_zero_hardware_noise
